GEO_NAME,C14_RATE_LOW_CI_MEN+_change,C15_RATE_LOW_CI_WOMEN+_change,C14_RATE_LOW_CI_MEN+_19,C14_RATE_LOW_CI_MEN+_20,C15_RATE_LOW_CI_WOMEN+_19,C15_RATE_LOW_CI_WOMEN+_20
"Gander, Town (T)",0.3922291691111148,6.15770894446378,59659.0,59893.0,40226.0,42703.0
"Glenwood, Town (T)",-7.86733597843004,1.8906306090702405,45619.0,42030.0,25071.0,25545.0
Granby,1.0792898531943647,5.95322466335932,54017.0,54600.0,39508.0,41860.0
"Bromont, Ville (V)",-11.41968060122123,3.3983044706905297,85160.0,75435.0,55204.0,57080.0
"Granby, Ville (V)",2.696661768662431,6.498832219868557,48319.0,49622.0,36822.0,39215.0
"Roxton Pond, Municipalité (MÉ)",6.081944881064655,9.21068075117371,47715.0,50617.0,34080.0,37219.0
"Saint-Alphonse-de-Granby, Municipalité (MÉ)",2.683646590481472,9.845575618923116,50491.0,51846.0,36717.0,40332.0
"Saint-Paul-d'Abbotsford, Municipalité (MÉ)",5.651121580153002,6.809316524393691,46274.0,48889.0,35378.0,37787.0
Grand Falls-Windsor,-1.2662350881478768,6.351742184272139,49122.0,48500.0,36305.0,38611.0
"Grand Falls-Windsor, Town (T)",-1.2662350881478768,6.351742184272139,49122.0,48500.0,36305.0,38611.0
Grande Prairie,-5.273196900456984,3.7196643229757314,75495.0,71514.0,44090.0,45730.0
"Grande Prairie, City (CY)",-5.273196900456984,3.7196643229757314,75495.0,71514.0,44090.0,45730.0
Greater Sudbury / Grand Sudbury,1.584190231362468,6.051662205138765,62240.0,63226.0,43707.0,46352.0
"Greater Sudbury / Grand Sudbury, City (CV)",1.5483335461626868,6.128597840724932,62648.0,63618.0,43811.0,46496.0
"Markstay-Warren, Municipality (MU)",0.9257116408238835,6.36038323906268,51852.0,52332.0,34652.0,36856.0
"St.-Charles, Municipality (MU)",-6.737500283183436,2.514993776168383,44141.0,41167.0,35348.0,36237.0
"Wahnapitei 11, Indian reserve (IRI)",,,,,,
"Whitefish Lake 6, Indian reserve (IRI)",15.159431939978562,10.762307815931859,29856.0,34382.0,37334.0,41352.0
Guelph,1.5040180106938494,6.400627000195938,63962.0,64924.0,45933.0,48873.0
"Guelph, City (CY)",2.664476991654657,7.238827658670721,59674.0,61264.0,44731.0,47969.0
"Guelph/Eramosa, Township (TP)",3.84457614891721,1.3417013658399213,70697.0,73415.0,49713.0,50380.0
"Puslinch, Township (TP)",-3.917158084584676,-0.570200207676753,98694.0,94828.0,54893.0,54580.0
Halifax,2.7297099683158663,7.331784364805557,57442.0,59010.0,42609.0,45733.0
"Beaver Lake 17, Indian reserve (IRI)",,,,,,
"Cole Harbour 30, Indian reserve (IRI)",,,,,,
"East Hants, Municipal district (MD)",-0.9946110166732974,5.872376510493958,55298.0,54748.0,37736.0,39952.0
"Halifax, Regional municipality (RGM)",2.8844151336341546,7.38529006974737,57620.0,59282.0,42869.0,46035.0
"Indian Brook 14, Indian reserve (IRI)",6.657762252131922,19.638739431206766,38932.0,41524.0,28622.0,34243.0
"Sheet Harbour 36, Indian reserve (IRI)",,,,,,
"Wallace Hills 14A, Indian reserve (IRI)",,,,,,
Hamilton,-0.3521014562024026,6.405993704836637,62766.0,62545.0,45114.0,48004.0
"Burlington, City (CY)",0.949084412684234,5.159165751920966,80604.0,81369.0,52838.0,55564.0
"Grimsby, Town (T)",2.6713292801485844,4.97036895431084,68917.0,70758.0,47079.0,49419.0
"Hamilton, City (C)",-1.5344131714168874,7.0170447810729435,56243.0,55380.0,42183.0,45143.0
Hawkesbury,4.090287922341077,9.92550324932636,42442.0,44178.0,31545.0,34676.0
"Grenville, Village (VL)",2.170609941393532,15.354370064309752,41463.0,42363.0,30011.0,34619.0
"Hawkesbury, Town (T)",4.449454200284765,9.551638244874496,42140.0,44015.0,31314.0,34305.0
High River,-0.47587620271631526,4.3803944946994635,57578.0,57304.0,38581.0,40271.0
"High River, Town (T)",-0.47587620271631526,4.3803944946994635,57578.0,57304.0,38581.0,40271.0
Ingersoll,2.362799395813853,7.728076825878191,55612.0,56926.0,39570.0,42628.0
"Ingersoll, Town (T)",2.362799395813853,7.728076825878191,55612.0,56926.0,39570.0,42628.0
Joliette,4.84046562264467,9.844421316681345,47764.0,50076.0,37473.0,41162.0
"Joliette, Ville (V)",6.757380634187826,12.61944664961336,41155.0,43936.0,34011.0,38303.0
"Notre-Dame-des-Prairies, Ville (V)",8.194824111578905,9.493470935130581,50117.0,54224.0,37984.0,41590.0
"Saint-Charles-Borromée, Ville (V)",2.8752651166513266,6.744567445674457,49978.0,51415.0,39024.0,41656.0
"Saint-Paul, Municipalité (MÉ)",3.9978168917997,8.888944422231107,51303.0,53354.0,40016.0,43573.0
Kamloops,1.9980846954178775,7.106673518831216,61609.0,62840.0,40863.0,43767.0
"Chase, Village (VL)",7.600008855238981,5.645782289114456,45171.0,48604.0,28570.0,30183.0
"Kamloops, City (CY)",2.0614668066124375,7.71206339888465,60976.0,62233.0,40884.0,44037.0
"Kamloops 1, Indian reserve (IRI)",0.080623101397947,4.439452536995438,69459.0,69515.0,43181.0,45098.0
"Logan Lake, District municipality (DM)",3.0653257663314415,5.156794425087108,57971.0,59748.0,27265.0,28671.0
"Sahhaltkum 4, Indian reserve (IRI)",6.985001086877762,13.519032208352597,27602.0,29530.0,25956.0,29465.0
"Sun Peaks Mountain, Village (VL)",-1.2162607883019074,-3.8388317227751405,72764.0,71879.0,41497.0,39904.0
"Thompson-Nicola J (Copper Desert Country), Regional district electoral area (RDA)",0.8815680792934748,5.307018778681832,62956.0,63511.0,35519.0,37404.0
"Thompson-Nicola P (Rivers and the Peaks), Regional district electoral area (RDA)",-3.008610167254973,0.9347469780782627,60626.0,58802.0,39048.0,39413.0
"Whispering Pines 4, Indian reserve (IRI)",,,,,,
Kawartha Lakes,2.1137621337204027,5.210096773378478,55115.0,56280.0,39577.0,41639.0
"Kawartha Lakes, City (CY)",2.1137621337204027,5.210096773378478,55115.0,56280.0,39577.0,41639.0
Kelowna,0.5862112909392124,6.796048319131005,62776.0,63144.0,42716.0,45619.0
"Central Okanagan, Regional district electoral area (RDA)",1.5794453744814034,7.236348031327111,54956.0,55824.0,37284.0,39982.0
"Central Okanagan West, Regional district electoral area (RDA)",0.2712958956093339,2.2470394648107685,60082.0,60245.0,37071.0,37904.0
"Duck Lake 7, Indian reserve (IRI)",2.225797093805216,3.5296829212077308,37919.0,38763.0,30371.0,31443.0
"Kelowna, City (CY)",1.7210056772100568,7.043955022767401,61650.0,62711.0,43044.0,46076.0
"Lake Country, District municipality (DM)",-4.71289727978551,7.160113690194221,71612.0,68237.0,42220.0,45243.0
"Peachland, District municipality (DM)",-0.9390577827704838,4.537228880904299,56972.0,56437.0,38129.0,39859.0
"Tsinstikeptum 10, Indian reserve (IRI)",2.172600044867038,2.803476310625175,57949.0,59208.0,39237.0,40337.0
"Tsinstikeptum 9, Indian reserve (IRI)",2.7319830428638716,9.063038336885748,44583.0,45801.0,34249.0,37353.0
"West Kelowna, City (CY)",0.5531295487627365,9.77551268049994,65265.0,65626.0,41205.0,45233.0
Kenora,3.5944557459573145,7.153284671532846,58006.0,60091.0,44525.0,47710.0
"Kenora, City (CY)",3.5944557459573145,7.153284671532846,58006.0,60091.0,44525.0,47710.0
Kentville,1.828777283322738,8.489459683647492,47190.0,48053.0,34961.0,37929.0
"Kentville, Town (T)",1.3273322081223564,8.447867621043464,47991.0,48628.0,36743.0,39847.0
"Kings, Subd. B, Subdivision of county municipality (SC)",0.754856533751006,8.958038661008958,45969.0,46316.0,33936.0,36976.0
"Kings, Subd. C, Subdivision of county municipality (SC)",2.6269088359660846,8.367531683765842,45643.0,46842.0,33140.0,35913.0
Kingston,3.0643655103240754,6.343184238551651,57826.0,59598.0,45072.0,47931.0
"Frontenac Islands, Township (TP)",-38.26911677534084,3.8001940323229455,59045.0,36449.0,42261.0,43867.0
"Kingston, City (CY)",3.3204088826224885,6.93298563496167,56740.0,58624.0,44483.0,47567.0
"Loyalist, Township (TP)",1.6058772687986171,-0.552924380792676,57850.0,58779.0,44129.0,43885.0
"South Frontenac, Township (TP)",0.8433854718981972,4.537950302671125,60352.0,60861.0,47246.0,49390.0
Kitchener - Cambridge - Waterloo,3.840533988642779,6.598420455335016,60226.0,62539.0,43177.0,46026.0
"Cambridge, City (CY)",3.4535495803101437,7.160918129372776,56232.0,58174.0,40735.0,43652.0
"Kitchener, City (CY)",4.328123884963962,7.73432379287743,56052.0,58478.0,41193.0,44379.0
"North Dumfries, Township (TP)",1.7166434377026787,3.4546636974558065,72467.0,73711.0,50743.0,52496.0
"Waterloo, City (CY)",3.668035261441855,5.9079860730943565,66248.0,68678.0,45667.0,48365.0
"Wilmot, Township (TP)",1.2437195077550427,3.6464268272830864,68665.0,69519.0,49144.0,50936.0
"Woolwich, Township (TP)",0.3030215992647059,5.804012544571895,69632.0,69843.0,46554.0,49256.0
Lachute,5.804268610098907,10.730538195497846,42262.0,44715.0,32962.0,36499.0
"Lachute, Ville (V)",5.804268610098907,10.730538195497846,42262.0,44715.0,32962.0,36499.0
Lacombe,-4.814256169431961,4.292794510102936,64309.0,61213.0,39345.0,41034.0
"Lacombe, City (CY)",-4.814256169431961,4.292794510102936,64309.0,61213.0,39345.0,41034.0
Ladysmith,-1.0143110061965182,4.2650458453466324,54224.0,53674.0,38499.0,40141.0
"Chemainus 13, Indian reserve (IRI)",18.562586383029867,18.501600853788688,16641.0,19730.0,23425.0,27759.0
"Cowichan Valley G, Regional district electoral area (RDA)",-2.9787477802600675,2.720196640721016,52371.0,50811.0,36615.0,37611.0
"Cowichan Valley H, Regional district electoral area (RDA)",-3.0337679582465005,9.672115291614276,54223.0,52578.0,41356.0,45356.0
"Ladysmith, Town (T)",1.5051707040657316,2.671223872748784,56472.0,57322.0,38035.0,39051.0
"Lyacksun 3, Indian reserve (IRI)",,,,,,
"Oyster Bay 12, Indian reserve (IRI)",,,,,,
"Penelakut Island 7, Indian reserve (IRI)",9.088843444671665,24.64857796665577,17604.0,19204.0,21413.0,26691.0
"Portier Pass 5, Indian reserve (IRI)",,,,,,
"Shingle Point 4, Indian reserve (IRI)",,,,,,
Lethbridge,1.0662539963267805,4.394709096137257,58804.0,59431.0,41732.0,43566.0
"Barons, Village (VL)",-13.419374902814493,30.173023431238512,38586.0,33408.0,21211.0,27611.0
"Coaldale, Town (T)",-1.2666546189357473,3.0888228665095787,60869.0,60098.0,39044.0,40250.0
"Coalhurst, Town (T)",9.006389409649158,12.693729136862183,52274.0,56982.0,33552.0,37811.0
"Lethbridge, City (CY)",1.4514064283984363,4.103651354534747,57806.0,58645.0,42450.0,44192.0
"Lethbridge County, Municipal district (MD)",-1.3656564409604344,4.759686311048995,64804.0,63919.0,38637.0,40476.0
"Nobleford, Town (T)",1.2529494613231877,1.6491634388851175,54671.0,55356.0,25043.0,25456.0
"Picture Butte, Town (T)",4.280782062223602,4.688679892908629,51556.0,53763.0,29134.0,30500.0
Lloydminster,-4.936817602394281,4.92933628621658,72172.0,68609.0,43799.0,45958.0
"Britannia No. 502, Rural municipality (RM)",-5.244184822650247,7.496196579226408,76008.0,72022.0,43382.0,46634.0
"Lashburn, Town (T)",-11.010702330106694,-0.5056991491411141,60641.0,53964.0,37374.0,37185.0
"Lloydminster (Part), City (CY)",-4.449124436189971,7.583524381133923,60304.0,57621.0,38821.0,41765.0
"Lloydminster (Part), City (CY)",23.595449721411516,22.77633239741377,60304.0,74533.0,38821.0,47663.0
"Lloydminster (Part), City (CY)",-25.827379803050782,-9.010696934707305,77685.0,57621.0,45901.0,41765.0
"Lloydminster (Part), City (CY)",-4.057411340670657,3.8386963246988084,77685.0,74533.0,45901.0,47663.0
"Marshall, Town (T)",-16.673619077415093,6.397005656926545,57534.0,47941.0,23511.0,25015.0
"Wilton No. 472, Rural municipality (RM)",-6.392330428656753,3.8900581899220006,65297.0,61123.0,40385.0,41956.0
London,4.0002202966661775,7.128194237984002,54472.0,56651.0,42381.0,45402.0
"Adelaide-Metcalfe, Township (TP)",5.457195676905575,12.148974824811836,56256.0,59326.0,38530.0,43211.0
"Central Elgin, Municipality (MU)",0.38079497026558423,5.52687789248843,61713.0,61948.0,44944.0,47428.0
"London, City (CY)",4.7779170941145175,7.825382452461517,52638.0,55153.0,41966.0,45250.0
"Middlesex Centre, Municipality (MU)",0.6077152270072322,3.6272040302267,76187.0,76650.0,53595.0,55539.0
"Southwold, Township (TP)",0.9608252402063101,5.654132573319849,57971.0,58528.0,43508.0,45968.0
"St. Thomas, City (CY)",4.492576774455969,6.665959027704066,49170.0,51379.0,37684.0,40196.0
"Strathroy-Caradoc, Municipality (MU)",4.961569139293742,5.508999851242128,55164.0,57901.0,40334.0,42556.0
"Thames Centre, Municipality (MU)",-2.65375387676283,3.650354746747262,68356.0,66542.0,46653.0,48356.0
Matane,0.8383207181834184,9.220985691573928,45448.0,45829.0,35224.0,38472.0
"Matane, Ville (V)",0.6104899236340561,9.266036825829149,45701.0,45980.0,35247.0,38513.0
"Saint-Adelme, Paroisse (municipalité de) (PE)",0.6656551319073957,14.191921065321415,40862.0,41134.0,26959.0,30785.0
"Saint-Léandre, Paroisse (municipalité de) (PE)",3.1883772146073692,5.587008343265793,30423.0,31393.0,26848.0,28348.0
"Saint-René-de-Matane, Municipalité (MÉ)",2.7154693993443635,10.70454918705863,38741.0,39793.0,30445.0,33704.0
"Saint-Ulric, Municipalité (MÉ)",-0.557984877471076,5.641674265376357,43908.0,43663.0,33997.0,35915.0
"Sainte-Félicité, Municipalité (MÉ)",3.8743258833945964,15.600924499229585,37271.0,38715.0,28556.0,33011.0
Medicine Hat,-2.111194826395429,3.99235818555893,63708.0,62363.0,40828.0,42458.0
"Cypress County, Municipal district (MD)",-4.530088769611891,1.135494635367182,77504.0,73993.0,43153.0,43643.0
"Medicine Hat, City (CY)",-1.7230541093792815,4.336615671733419,62041.0,60972.0,40723.0,42489.0
"Redcliff, Town (T)",-4.064984084465395,5.217042721337762,57491.0,55154.0,34924.0,36746.0
Midland,4.828750388698858,6.082932630163901,45022.0,47196.0,38682.0,41035.0
"Midland, Town (T)",3.6797690428603156,4.620599739243807,45030.0,46687.0,38350.0,40122.0
"Penetanguishene, Town (T)",5.2694637851523645,8.43272869633303,44236.0,46567.0,38315.0,41546.0
Miramichi,2.897747853322822,7.433085184974711,46933.0,48293.0,35194.0,37810.0
"Big Hole Tract 8 (North Half), Indian reserve (IRI)",,,,,,
"Big Hole Tract 8 (South Half), Indian reserve (IRI)",,,,,,
"Chatham, Parish (P)",-1.3858562452653624,7.29623710591312,44882.0,44260.0,34415.0,36926.0
"Derby, Parish (P)",10.822021985112807,5.4294829350508635,43393.0,48089.0,33226.0,35030.0
"Eel Ground 2, Indian reserve (IRI)",20.30859174878703,19.369509445696963,33183.0,39922.0,25726.0,30709.0
"Glenelg, Parish (P)",2.5509143807148793,8.767780189871367,38496.0,39478.0,30863.0,33569.0
"Miramichi, City (C)",4.014284213843084,7.345225603357817,47605.0,49516.0,35261.0,37851.0
"Nelson, Parish (P)",3.6483392080685415,2.3990913372302405,38867.0,40285.0,36097.0,36963.0
"Newcastle, Parish (P)",-1.7946681229211139,7.135489574891328,40286.0,39563.0,27146.0,29083.0
"Northesk, Parish (P)",-1.597236710944201,9.814562143388738,43137.0,42448.0,32248.0,35413.0
"Red Bank 4, Indian reserve (IRI)",-6.8093696926971505,10.235384343106603,31207.0,29082.0,33902.0,37372.0
"Southesk, Parish (P)",1.9141657973264756,9.491649174043989,41219.0,42008.0,32871.0,35991.0
Moncton,3.3564208524920938,7.206886014057249,51543.0,53273.0,39268.0,42098.0
"Coverdale, Parish (P)",6.687808598611056,6.187651299513181,49822.0,53154.0,37591.0,39917.0
"Dieppe, City (C)",4.295038248298126,5.350966429298067,56996.0,59444.0,44235.0,46602.0
"Dorchester, Parish (P)",14.641494275959028,13.144625257850103,29874.0,34248.0,26178.0,29619.0
"Dorchester, Village (VL)",0.0,5.832736532187475,37179.0,37179.0,25134.0,26600.0
"Elgin, Parish (P)",1.3748118414450576,2.839485552029397,39860.0,40408.0,23948.0,24628.0
"Fort Folly 1, Indian reserve (IRI)",,,,,,
"Hillsborough, Parish (P)",-1.8424118846489952,1.451740266051145,41196.0,40437.0,32926.0,33404.0
"Hillsborough, Village (VL)",6.5821913881084795,12.984223130018313,34882.0,37178.0,28396.0,32083.0
"Hopewell, Parish (P)",0.567984235539585,11.972738994289925,34508.0,34704.0,32574.0,36474.0
"Memramcook, Village (VL)",2.251097301290687,8.58936923434714,46022.0,47058.0,38699.0,42023.0
"Moncton, Parish (P)",4.3762557077625575,5.954713424766251,54750.0,57146.0,40321.0,42722.0
"Moncton, City (C)",4.432150183377883,8.623540077862515,48261.0,50400.0,37502.0,40736.0
"Riverview, Town (TV)",0.25,6.207201812169657,53600.0,53734.0,38407.0,40791.0
"Saint-Paul, Parish (P)",-1.6365925304238356,12.997477314657932,40511.0,39848.0,26559.0,30011.0
"Salisbury, Village (VL)",3.9510620379900816,11.383105008181206,42748.0,44437.0,31169.0,34717.0
Montréal,3.596577311777973,7.567268451269281,58083.0,60172.0,43371.0,46653.0
"Baie-D'Urfé, Ville (V)",-3.933343756035204,7.886167350984001,108737.0,104460.0,49441.0,53340.0
"Beaconsfield, Ville (V)",-0.4784781122738782,3.0061773072326674,103871.0,103374.0,59411.0,61197.0
"Beauharnois, Ville (V)",3.2196742305999124,6.939526584325424,49974.0,51583.0,35867.0,38356.0
"Beloeil, Ville (V)",1.8783586136628814,5.032541738316536,60851.0,61994.0,45941.0,48253.0
"Blainville, Ville (V)",-0.36781034865645124,5.541466686228072,72048.0,71783.0,47713.0,50357.0
"Bois-des-Filion, Ville (V)",3.000018137957303,5.844720196996765,55133.0,56787.0,41422.0,43843.0
"Boisbriand, Ville (V)",2.180283262401451,7.08947501552188,57332.0,58582.0,43487.0,46570.0
"Boucherville, Ville (V)",1.7726190476190475,3.477313974591652,84000.0,85489.0,55100.0,57016.0
"Brossard, Ville (V)",5.064643465034585,8.665449631333127,55226.0,58023.0,42179.0,45834.0
"Candiac, Ville (V)",3.765437224917846,5.120715457709021,84293.0,87467.0,55461.0,58301.0
"Carignan, Ville (V)",4.582975632305356,5.788578857885788,75715.0,79185.0,49995.0,52889.0
"Chambly, Ville (V)",3.3347234450056376,4.6183450930083385,64743.0,66902.0,48329.0,50561.0
"Charlemagne, Ville (V)",5.10553219556435,6.3929199648197015,48516.0,50993.0,36384.0,38710.0
"Châteauguay, Ville (V)",4.419573909916009,7.923153871803422,47267.0,49356.0,38987.0,42076.0
"Coteau-du-Lac, Ville (V)",-1.6513435343922183,4.945511526864361,61889.0,60867.0,42119.0,44202.0
"Côte-Saint-Luc, Ville (V)",5.772832786360362,7.744032775204845,62465.0,66071.0,44912.0,48390.0
"Delson, Ville (V)",0.6572999849329516,7.591604411241551,53096.0,53445.0,42165.0,45366.0
"Deux-Montagnes, Ville (V)",3.0422872135195616,5.2767144004915165,51836.0,53413.0,42318.0,44551.0
"Dollard-Des Ormeaux, Ville (V)",4.119221370746547,5.562920178013446,60157.0,62635.0,42244.0,44594.0
"Dorval, Ville (V)",2.292962753494385,5.951700171556768,61885.0,63304.0,45466.0,48172.0
"Gore, Canton (municipalité de) (CT)",1.6912188297259485,11.34535295791407,48604.0,49426.0,38659.0,43045.0
"Hampstead, Ville (V)",0.018446781036709093,3.5870490504006813,140946.0,140972.0,68134.0,70578.0
"Hudson, Ville (V)",1.3203489732476128,4.420767226588151,89749.0,90934.0,47209.0,49296.0
"Kahnawake, Indian reserve (IRI)",,,,,,
"Kanesatake, Indian settlement (S-É)",,,,,,
"Kirkland, Ville (V)",-3.7851391706462705,5.734474792770757,79363.0,76359.0,51513.0,54467.0
"L'Assomption, Ville (V)",1.6388023868756634,5.677459319086079,57481.0,58423.0,41973.0,44356.0
"L'Épiphanie, Ville (V)",2.6636910855411324,11.946744422743652,48842.0,50143.0,36353.0,40696.0
"L'Île-Cadieux, Ville (V)",,,,,,
"L'Île-Dorval, Ville (V)",,,,,,
"L'Île-Perrot, Ville (V)",2.494876947257426,5.243345638235866,50263.0,51517.0,41176.0,43335.0
"La Prairie, Ville (V)",1.2806598654221837,4.978065207093279,64498.0,65324.0,48553.0,50970.0
"Laval, Ville (V)",3.7374574242842677,7.083903221242277,54315.0,56345.0,42406.0,45410.0
"Lavaltrie, Ville (V)",0.8712946301733119,8.19899174560966,52795.0,53255.0,36102.0,39062.0
"Les Coteaux, Municipalité (MÉ)",1.7863716505531553,10.220266571158126,51613.0,52535.0,39089.0,43084.0
"Les Cèdres, Municipalité (MÉ)",1.385374143376988,5.9592238932032,54137.0,54887.0,42623.0,45163.0
"Longueuil, Ville (V)",4.909983633387888,8.397553820911847,51324.0,53844.0,40226.0,43604.0
"Lorraine, Ville (V)",1.1859508591848236,1.9940037964129222,83393.0,84382.0,56369.0,57493.0
"Léry, Ville (V)",0.6352336463704398,5.206265642530422,61867.0,62260.0,46348.0,48761.0
"Mascouche, Ville (V)",2.543525571273123,7.197056269141107,58816.0,60312.0,43754.0,46903.0
"McMasterville, Municipalité (MÉ)",3.3807172602836006,5.15275439018523,56911.0,58835.0,41570.0,43712.0
"Mercier, Ville (V)",1.508377060520677,7.97212543554007,59269.0,60163.0,43050.0,46482.0
"Mirabel, Ville (V)",3.0171893588041585,7.1329428094196246,58001.0,59751.0,42507.0,45539.0
"Mont-Royal, Ville (V)",-0.14037703526873874,4.326116146357839,126089.0,125912.0,71496.0,74589.0
"Mont-Saint-Hilaire, Ville (V)",2.8300305565941644,5.936189895093196,77561.0,79756.0,50807.0,53823.0
"Montréal, Ville (V)",5.369257984875877,8.877493985273032,51441.0,54203.0,41149.0,44802.0
"Montréal-Est, Ville (V)",6.059404092489325,15.226731695987922,42859.0,45456.0,34446.0,39691.0
"Montréal-Ouest, Ville (V)",1.403746916173793,5.9697940793857285,92823.0,94126.0,63034.0,66797.0
"Notre-Dame-de-l'Île-Perrot, Ville (V)",2.5674648705836773,4.244495991535425,67109.0,68832.0,49146.0,51232.0
"Oka, Municipalité (MÉ)",-0.17352951809406744,7.405943724312361,55322.0,55226.0,37956.0,40767.0
"Otterburn Park, Ville (V)",-1.082051682410805,2.036327206202631,64045.0,63352.0,45916.0,46851.0
"Pincourt, Ville (V)",2.122570471820131,3.853741340551452,56441.0,57639.0,43594.0,45274.0
"Pointe-Calumet, Municipalité (MÉ)",4.163483575248281,7.588395540202769,47124.0,49086.0,35607.0,38309.0
"Pointe-Claire, Ville (V)",1.4507881758494447,3.2076360582536205,66102.0,67061.0,48821.0,50387.0
"Pointe-des-Cascades, Village (VL)",7.956984972568976,10.812747984129016,50308.0,54311.0,39065.0,43289.0
"Repentigny, Ville (V)",1.5460761302173691,7.023593037810263,58794.0,59703.0,42343.0,45317.0
"Richelieu, Ville (V)",-1.0563002680965148,7.820116893392205,55950.0,55359.0,39181.0,42245.0
"Rosemère, Ville (V)",3.769248143276602,1.6019145774226546,75267.0,78104.0,51813.0,52643.0
"Saint-Amable, Ville (V)",2.2979501240370808,8.210457450556087,53613.0,54845.0,39742.0,43005.0
"Saint-Basile-le-Grand, Ville (V)",0.9670839264487915,4.649647815642686,68143.0,68802.0,49122.0,51406.0
"Saint-Bruno-de-Montarville, Ville (V)",0.29971750763648053,3.904828803515787,87082.0,87343.0,55521.0,57689.0
"Saint-Colomban, Ville (V)",0.3459684597685706,6.39397874284615,59543.0,59749.0,41586.0,44245.0
"Saint-Constant, Ville (V)",3.1572065174377593,6.234226860377873,58121.0,59956.0,43983.0,46725.0
"Saint-Eustache, Ville (V)",2.174032895341358,6.651072917726025,54415.0,55598.0,39332.0,41948.0
"Saint-Isidore, Paroisse (municipalité de) (PE)",5.466244117929511,11.962028840265019,52065.0,54911.0,35922.0,40219.0
"Saint-Jean-sur-Richelieu, Ville (V)",3.458078512783108,7.086479066575155,53469.0,55318.0,40796.0,43687.0
"Saint-Joseph-du-Lac, Municipalité (MÉ)",4.401228249744114,3.829787234042553,58620.0,61200.0,41830.0,43432.0
"Saint-Jérôme, Ville (V)",4.622901528438987,8.942793045429053,47892.0,50106.0,35660.0,38849.0
"Saint-Lambert, Ville (V)",2.873948613798785,3.5938623081971315,104386.0,107386.0,63998.0,66298.0
"Saint-Lazare, Ville (V)",2.302984148474079,5.4401542026370295,70908.0,72541.0,48767.0,51420.0
"Saint-Lin--Laurentides, Ville (V)",3.434271909363545,11.320922248201972,48016.0,49665.0,33787.0,37612.0
"Saint-Mathias-sur-Richelieu, Municipalité (MÉ)",2.847141627045038,5.6097865435026835,53422.0,54943.0,40055.0,42302.0
"Saint-Mathieu, Municipalité (MÉ)",5.929266923478968,6.871949860034186,51659.0,54722.0,40367.0,43141.0
"Saint-Mathieu-de-Beloeil, Municipalité (MÉ)",1.418397888621854,9.85312649372094,67823.0,68785.0,46026.0,50561.0
"Saint-Philippe, Ville (V)",2.6411453577520114,6.335594791622771,58043.0,59576.0,47462.0,50469.0
"Saint-Placide, Municipalité (MÉ)",4.394045318090225,20.992994212610416,48634.0,50771.0,32830.0,39722.0
"Saint-Roch-de-l'Achigan, Municipalité (MÉ)",2.483649953285581,12.518963870315222,51376.0,52652.0,35594.0,40050.0
"Saint-Sulpice, Paroisse (municipalité de) (PE)",1.4335638058018938,10.319062475421442,53224.0,53987.0,38143.0,42079.0
"Saint-Zotique, Municipalité (MÉ)",4.326299002336535,11.94366051316573,53926.0,56259.0,38623.0,43236.0
"Sainte-Anne-de-Bellevue, Ville (V)",2.351682654367536,7.6115194173679415,57023.0,58364.0,45037.0,48465.0
"Sainte-Anne-des-Plaines, Ville (V)",2.812130444368724,8.608401576343665,49891.0,51294.0,35779.0,38859.0
"Sainte-Catherine, Ville (V)",3.068115914915907,6.439295731491739,53453.0,55093.0,42427.0,45159.0
"Sainte-Julie, Ville (V)",1.070073982203891,6.030335905676212,69341.0,70083.0,48853.0,51799.0
"Sainte-Marthe-sur-le-Lac, Ville (V)",2.9564263635457175,5.6725657761927195,60174.0,61953.0,44583.0,47112.0
"Sainte-Thérèse, Ville (V)",4.047709923664122,8.928802505240817,52400.0,54521.0,38639.0,42089.0
"Senneville, Village (VL)",-233.12088149508477,-148.38433241367778,-64799.0,86261.0,-95688.0,46298.0
"Terrasse-Vaudreuil, Municipalité (MÉ)",0.48134532973170585,10.59319799630899,49237.0,49474.0,37930.0,41948.0
"Terrebonne, Ville (V)",3.0967586456199543,8.0368083974937,58093.0,59892.0,43251.0,46727.0
"Varennes, Ville (V)",-1.8029074439330848,5.119794045592327,68445.0,67211.0,48166.0,50632.0
"Vaudreuil-Dorion, Ville (V)",3.0483800350262698,5.891723421447535,54816.0,56487.0,43315.0,45867.0
"Vaudreuil-sur-le-Lac, Village (VL)",7.44923878141125,0.7952596288788398,62597.0,67260.0,51304.0,51712.0
"Verchères, Municipalité (MÉ)",-1.4711980229221608,6.706952970119665,60291.0,59404.0,41867.0,44675.0
"Westmount, Ville (V)",-3.930686082539267,12.782594603354672,213983.0,205572.0,74046.0,83511.0
Moose Jaw,0.7286920396676494,5.347837085757652,59696.0,60131.0,39530.0,41644.0
"Moose Jaw, City (CY)",0.7879219194794631,5.9397388344088204,59016.0,59481.0,39362.0,41700.0
"Moose Jaw No. 161, Rural municipality (RM)",-1.7687661777394306,-17.327700852694985,64904.0,63756.0,38349.0,31704.0
Nanaimo,1.3685275452956864,8.6045452244774,54365.0,55109.0,39514.0,42914.0
"Lantzville, District municipality (DM)",-1.80941461039471,6.036004235792446,63667.0,62515.0,42495.0,45060.0
"Nanaimo, City (CY)",1.9609684629688762,9.35323383084577,53239.0,54283.0,39195.0,42861.0
